id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
ZBOI;1;1;0;1;2;3;0;43;0;1;1;0;0;0;0;0;0;0;0;0.25;0.0;0.5714285714285714;0.0
C4UM;0;1;0;1;2;4;0;31;0;1;1;0;0;0;0;0;0;0;0;0.25;0.0;0.5714285714285714;0.0
INGF;0;1;0;1;2;3;0;52;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
UQD4;1;1;0;3;2;2;0;38;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
OUX1;0;1;0;1;2;4;0;34;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
QHWR;0;1;0;1;2;3;0;34;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
HIFC;0;1;0;1;0;3;0;30;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0
KLGB;1;1;0;3;1;3;0;33;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
DJGR;0;1;0;4;3;5;0;22;0;0;0;0;0;0;0;0;0;0;0;0.1666666666666666;0.0;0.5;0.0
Z8GW;0;1;0;4;3;5;0;23;0;0;0;0;0;0;0;0;0;0;0;0.1666666666666666;0.0;0.4;0.0
ZIR6;0;1;0;0;3;5;0;21;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0.3333333333333333;0.6;0.0
ZMUG;0;1;0;3;1;3;0;30;0;1;1;0;0;0;0;0;0;1;0;0.1666666666666666;0.0;0.5;0.0
PYIO;0;1;0;3;0;4;0;25;1;1;1;0;0;0;0;1;0;1;0;0.8333333333333333;0.9333333333333332;0.8571428571428571;0.0
KGDD;0;1;0;4;3;5;0;24;1;0;0;0;0;0;0;0;0;0;0;0.1666666666666666;0.0;0.5;0.0
ECQ7;0;1;0;4;3;5;0;21;1;0;0;0;0;0;0;0;0;0;0;0.1666666666666666;0.0;0.5;0.0
IQUO;0;1;0;0;0;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0.6000000000000001;0.025;0.7142857142857143;0.6666666666666666
DAC6;0;1;0;2;1;1;0;19;0;0;0;0;0;0;0;0;0;0;0;0.8;0.1833333333333333;0.8333333333333334;0.3333333333333333
TJJD;0;1;0;1;0;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0.8;0.1833333333333333;0.8333333333333334;0.3333333333333333
I7A3;0;1;0;3;0;2;0;24;0;0;0;0;0;0;0;0;0;0;0;0.6000000000000001;0.025;0.7142857142857143;0.6666666666666666
OMZT;0;1;0;3;0;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0.8;0.0583333333333333;0.8333333333333334;0.6666666666666666
ZFPY;0;1;0;2;1;2;0;19;0;0;0;0;0;0;0;0;0;0;0;0.4;0.025;0.625;0.0
I6DE;0;1;0;1;2;2;0;28;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
RHNX;1;1;0;3;1;3;0;31;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
TOW9;0;1;0;1;2;3;0;29;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
SJOF;0;1;0;3;2;2;0;22;0;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
TDH8;0;1;0;3;0;3;0;23;0;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
OVVC;0;0;1;1;0;3;0;24;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
URH3;0;1;0;1;0;3;0;34;1;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
W3VL;0;1;0;3;0;3;0;36;1;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
E4X5;0;1;0;3;1;5;0;24;1;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
